Finished reading inputs
Log likelihood: -4907.16
Log likelihood: -490.583
Log likelihood: -4328.03
Log likelihood: -11473
Log likelihood: -1324.4
Log likelihood: -913.323
Log likelihood: -643.96
Log likelihood: -167.035
Log likelihood: -336.731
Log likelihood: -1982.24
Log likelihood: -269.838
Log likelihood: -2318.1
Log likelihood: -303.116
Log likelihood: -22758.1
Log likelihood: -4544.95
Log likelihood: -492.99
Log likelihood: -1607.58
Log likelihood: -869.044
Log likelihood: -942.02
Log likelihood: -900.466
Log likelihood: -614.522
Log likelihood: -659.964
Log likelihood: -19357.1
Log likelihood: -1652.16
Log likelihood: -1852.49
Log likelihood: -2388.53
Log likelihood: -10628.9
Log likelihood: -7007.29
Log likelihood: -219.48
Log likelihood: -16279.7
Log likelihood: -814.999
Log likelihood: -5515.33
Log likelihood: -1637.99
Log likelihood: -2632.35
Log likelihood: -1159.02
Log likelihood: -47277.8
Log likelihood: -917.927
Log likelihood: -4688.92
Completed simulation 601
Log likelihood: -19489.5
Log likelihood: -2176.58
Log likelihood: -1080.33
Log likelihood: -1016.25
Log likelihood: -1569.37
Log likelihood: -4217.18
Log likelihood: -996.214
Log likelihood: -1120.32
Log likelihood: -4562.63
Log likelihood: -1054.44
Log likelihood: -11405.4
Log likelihood: -744.581
Log likelihood: -2752.41
Log likelihood: -40707.8
Log likelihood: -4289.71
Log likelihood: -236.336
Log likelihood: -825.651
Log likelihood: -18092.5
Log likelihood: -2813.6
Log likelihood: -3558.24
Log likelihood: -357.866
Log likelihood: -5150.46
Log likelihood: -4016.26
Log likelihood: -3472.28
Log likelihood: -514.294
Log likelihood: -4622.52
Log likelihood: -2415.28
Log likelihood: -596.989
Log likelihood: -16189.4
Log likelihood: -25661.7
Log likelihood: -1491.66
Log likelihood: -2560.28
Log likelihood: -994.35
Log likelihood: -23503.5
Log likelihood: -2631.03
Log likelihood: -2242.48
Log likelihood: -18425.9
Log likelihood: -706.247
Log likelihood: -1001
Log likelihood: -537.602
Log likelihood: -3277.11
Log likelihood: -1304.27
Log likelihood: -3295.94
Log likelihood: -3036.22
Log likelihood: -1280.4
Log likelihood: -3527.41
Log likelihood: -5638.24
Log likelihood: -4217.68
Log likelihood: -2247.58
Log likelihood: -4414.22
Log likelihood: -1158.13
Log likelihood: -686.421
Log likelihood: -622.878
Log likelihood: -7819.07
Log likelihood: -767.994
Log likelihood: -1868.9
Log likelihood: -6147.17
Log likelihood: -5444.43
Log likelihood: -3879.39
Log likelihood: -319.064
Log likelihood: -2529.94
Log likelihood: -1034.85
Log likelihood: -2166.26
Log likelihood: -8054.41
Log likelihood: -25443.4
Log likelihood: -13621.3
Log likelihood: -1387.6
Log likelihood: -2669.3
Log likelihood: -27470.6
Log likelihood: -742.669
Log likelihood: -4915.45
Log likelihood: -562.751
Log likelihood: -643.726
Log likelihood: -4803.89
Log likelihood: -357.299
Log likelihood: -5683.72
Log likelihood: -4867.84
Log likelihood: -334.624
Log likelihood: -325
Log likelihood: -3161.68
Log likelihood: -1221.17
Log likelihood: -1242.13
Log likelihood: -1643.15
Log likelihood: -235.245
Log likelihood: -11872.3
Log likelihood: -3766.74
Log likelihood: -1035.76
Log likelihood: -1030.87
Log likelihood: -1611.8
Log likelihood: -336.304
Log likelihood: -1467.98
Log likelihood: -2471.54
Log likelihood: -12266.4
Log likelihood: -763.815
Log likelihood: -769.404
Log likelihood: -1360.86
Log likelihood: -596.498
Log likelihood: -3026.28
Log likelihood: -15908
Log likelihood: -13310.4
Completed simulation 701
Log likelihood: -15204.5
Log likelihood: -525.671
Log likelihood: -1240.67
Log likelihood: -11596.7
Log likelihood: -694.892
Log likelihood: -1265.18
