Finished reading inputs
Log likelihood: -1032.98
Log likelihood: -824.102
Log likelihood: -11868.5
Log likelihood: -755.013
Log likelihood: -162.864
Log likelihood: -2230.77
Log likelihood: -3300.57
Log likelihood: -409.856
Log likelihood: -1152.46
Log likelihood: -1835.62
Log likelihood: -2395.18
Log likelihood: -2406.07
Log likelihood: -6813.89
Log likelihood: -3593.05
Log likelihood: -972.809
Log likelihood: -11277
Log likelihood: -934.794
Log likelihood: -932.971
Log likelihood: -3526.52
Log likelihood: -24029.6
Log likelihood: -718.667
Log likelihood: -190.507
Log likelihood: -1080.76
Log likelihood: -13238.4
Log likelihood: -7116.85
Log likelihood: -2418.75
Log likelihood: -23746.9
Log likelihood: -3237.85
Log likelihood: -357.494
Log likelihood: -769.5
Log likelihood: -671.833
Log likelihood: -524.026
Log likelihood: -853.825
Log likelihood: -2313.77
Log likelihood: -715.98
Completed simulation 501
Log likelihood: -1454.34
Log likelihood: -2396.22
Log likelihood: -13355.2
Log likelihood: -4889.53
Log likelihood: -262.867
Log likelihood: -314.912
Log likelihood: -541
Log likelihood: -13356
Log likelihood: -4939.32
Log likelihood: -937.895
Log likelihood: -3417.18
Log likelihood: -666.557
Log likelihood: -1324.5
Log likelihood: -4313.2
Log likelihood: -254.025
Log likelihood: -2830.19
Log likelihood: -892.181
Log likelihood: -7321.13
Log likelihood: -14471.3
Log likelihood: -4069.47
Log likelihood: -550.567
Log likelihood: -3107.47
Log likelihood: -418.572
Log likelihood: -583.329
Log likelihood: -518.44
Log likelihood: -889.007
Log likelihood: -5981.67
Log likelihood: -7864.33
Log likelihood: -3030.17
Log likelihood: -163.972
Log likelihood: -7693.41
Log likelihood: -3856.05
Log likelihood: -4267.89
Log likelihood: -3835.87
Log likelihood: -321.413
Log likelihood: -464.858
Log likelihood: -1417.67
Log likelihood: -1471.64
Log likelihood: -2698.3
Log likelihood: -2217.51
Log likelihood: -2218.4
Log likelihood: -207.722
Log likelihood: -847.595
Log likelihood: -601.101
Log likelihood: -3473.26
Log likelihood: -1970.64
Log likelihood: -1758.08
Log likelihood: -391.124
Log likelihood: -522.42
Log likelihood: -28350.6
Log likelihood: -1942.22
Log likelihood: -772.378
Log likelihood: -25153.7
Log likelihood: -340.558
Log likelihood: -3173.86
Log likelihood: -1044.91
Log likelihood: -226.378
Log likelihood: -1021.06
Log likelihood: -3967.13
Log likelihood: -2498.2
Log likelihood: -286.807
Log likelihood: -1461.09
Log likelihood: -2863.61
Log likelihood: -469.311
Log likelihood: -317.184
Log likelihood: -9604.85
Log likelihood: -527.815
Log likelihood: -1027.86
Log likelihood: -593.745
Log likelihood: -361.646
Log likelihood: -364.467
Log likelihood: -2031.19
Log likelihood: -182.864
Log likelihood: -2123.06
Log likelihood: -250.276
Log likelihood: -16940.8
Log likelihood: -1258.93
Log likelihood: -444.638
Log likelihood: -1699.29
Log likelihood: -889.401
Log likelihood: -443.332
Log likelihood: -942.697
Log likelihood: -665.726
Log likelihood: -1055.69
Log likelihood: -14907
Log likelihood: -359.921
Log likelihood: -1021.78
Log likelihood: -271.986
Log likelihood: -2687.71
Log likelihood: -6435.09
Log likelihood: -290.461
Log likelihood: -8655.93
Log likelihood: -989.066
Log likelihood: -1598.41
Log likelihood: -1324.88
Log likelihood: -2745.21
Log likelihood: -1292.83
Log likelihood: -47137.5
Log likelihood: -990.266
Log likelihood: -1240.91
Completed simulation 601
Log likelihood: -18694.3
Log likelihood: -935.034
Log likelihood: -1258.25
Log likelihood: -1079.32
Log likelihood: -564.189
Log likelihood: -1520.41
Log likelihood: -1074.8
Log likelihood: -350.242
Log likelihood: -4647.7
Log likelihood: -925.994
